handle,title,type,potrzeba_proposed,uzycie_proposed,other_tags,source_dzialanie
bazylia-bio,"Bazylia egzotyczna BIO",Olejek eteryczny,sen|stres|odpornosc|trawienie,,bio,"Wspomagająco w bezsenności; Wspomagająco w infekcjach wirusowych; Wspomagająco w niestrawnościach; Wspomagająco w trudnościach emocjonalnych; Wzmacniający w stanach wyczerpania intelektualnego"
czystek-ladanowy-bio,"Czystek ladanowy BIO",Olejek eteryczny,stres|odpornosc|skora|trawienie,dyfuzja|skora|kapiel|doustnie,bio,"Wspomaga immunologię; Wspomagająco w grzybicy skóry; Wspomagająco w niestrawnościach; Wzmacniające dla skóry; Wzmacniający w stanach wyczerpania intelektualnego"
kocanka-wloska-bio,"Kocanki włoskie BIO",Olejek eteryczny,skora|pielegnacja,skora|kapiel,bio,"Ściągające skórę; Ułatwiające gojenie się ran; Wspomaga krążenie krwi; Wspomaga układ limfatyczny"
lawenda-waskolistna-bio,"Lawenda wąskolistna BIO",Olejek eteryczny,sen|stres|odpornosc|skora,,bio,"Oparzenia słoneczne; Przewlekły stres; Ukąszenia owadów; Ułatwiające gojenie się ran; Wspomaga immunologię; Wspomagająco przy trądziku różowatym"
ylang-ylang,"Ylang-Ylang pełny",Olejek eteryczny,stres|odpornosc|skora,dyfuzja|skora|kapiel|doustnie,,"Ogólne osłabienie; Przewlekły stres; Wspomaga immunologię; Wspomaga krążenie krwi; Wspomagająco w stanach zapalnych skóry; Wspomagająco w trudnościach emocjonalnych"
cytryna-bio,"Cytryna BIO",Olejek eteryczny,stres|odpornosc|oddychanie,dyfuzja|skora|doustnie,bio|fototoksyczny,"Przy braku apetytu; Wspomaga immunologię; Wspomagająco w ciężkich infekcjach dróg oddechowych w celu uniknięcia nadkażeń; Wspomagająco w grypie; Wspomagająco w infekcjach wirusowych"
ravintsara-bio,"Ravintsara BIO",Olejek eteryczny,odpornosc,dyfuzja|skora|inhalacja|doustnie,bio,"Wspomaga immunologię; Wspomagająco w grypie; Wspomagająco w infekcjach wirusowych"
saro-bio,"Saro lub Mandravasarotra BIO",Olejek eteryczny,odpornosc|skora,dyfuzja|skora|inhalacja|doustnie,bio,"Wspomaga immunologię; Wspomagająco w grzybicy skóry; Wspomagająco w infekcjach okresu jesienno – zimowego"
tea-tree-drzewo-herbaciane-bio,"Drzewo herbaciane/ Tea tree BIO",Olejek eteryczny,odpornosc|oddychanie|skora|pielegnacja,dyfuzja|skora|doustnie,bio,"Oparzenia słoneczne; Ukąszenia owadów; Ułatwiające gojenie się ran; Wspomaga immunologię; Wspomagająco przy trądziku różowatym; Wspomagająco w ciężkich infekcjach dróg oddechowych w celu uniknięcia nadkażeń"
rumianek-rzymski-bio,"Rumianek rzymski BIO",Olejek eteryczny,sen|stres|skora,dyfuzja|skora|kapiel|doustnie,bio,"Oparzenia słoneczne; Przewlekły stres; Wspomagająco przy trądziku różowatym; Wspomagająco w alergiach skórnych; Wspomagająco w bezsenności; Wspomagająco w egzemie"
oregano-origanum-compactum-bio,"Oregano BIO",Olejek eteryczny,odpornosc|skora|trawienie,,bio,"Wspomaga immunologię; Wspomagająco w grzybicy skóry; Wspomagająco w niestrawnościach"
majeranek-ogrodowy-bio,"Majeranek ogrodowy BIO",Olejek eteryczny,stres|skora,skora|doustnie,bio,"Przewlekły stres; Przy braku apetytu; Wspomaga krążenie krwi; Wspomagająco w grzybicy skóry; Wzmacniający w stanach wyczerpania intelektualnego"
geranium-rosat-bio,"Geranium rosat BIO",Olejek eteryczny,stres|skora,skora|kapiel|inhalacja|doustnie,bio,"Oparzenia słoneczne; Przewlekły stres; Ściągające skórę; Ukąszenia owadów; Wspomagająco przy trądziku różowatym; Wspomagająco w alergiach skórnych"
rozmaryn-ct-cyneol-bio,"Rozmaryn CT cyneol BIO",Olejek eteryczny,odpornosc|oddychanie|skora|trawienie,dyfuzja|skora|kapiel|inhalacja|doustnie,bio,"Ogólne osłabienie; Przy braku apetytu; Ściągające skórę; Wspomaga rozrzedzanie wydzieliny oskrzelowej; Wspomagająco w grypie; Wspomagająco w infekcjach okresu jesienno – zimowego"
rozmaryn-ct-werbenon-bio,"Rozmaryn CT werbenon BIO",Olejek eteryczny,stres|odpornosc|oddychanie|skora,dyfuzja|skora|kapiel|inhalacja|doustnie,bio,"Ogólne osłabienie; Przewlekły stres; Ułatwiające gojenie się ran; Wspomaga układ limfatyczny; Wspomagająco w ciężkich infekcjach dróg oddechowych w celu uniknięcia nadkażeń; Wspomagająco w egzemie"
eukaliptus-galkowy-bio,"Eukaliptus gałkowy BIO",Olejek eteryczny,odpornosc|skora,dyfuzja|skora,bio,"Wspomagająco w grypie; Wspomagająco w grzybicy skóry; Wspomagająco w infekcjach okresu jesienno – zimowego"
tymianek-ct-linalol-bio,"Tymianek CT linalol BIO",Olejek eteryczny,stres|odpornosc|oddychanie|skora,dyfuzja|skora|kapiel|inhalacja|doustnie,bio,"Ogólne osłabienie; Przewlekły stres; Wspomaga immunologię; Wspomaga rozrzedzanie wydzieliny oskrzelowej; Wspomagająco w egzemie; Wspomagająco w grypie"
tymianek-ct-tymol-bio,"Tymianek CT tymol BIO",Olejek eteryczny,stres|odpornosc|skora|trawienie,dyfuzja|skora|kapiel|inhalacja,bio,"Ogólne osłabienie; Wspomaga immunologię; Wspomagająco przy trądziku różowatym; Wspomagająco w grypie; Wspomagająco w grzybicy skóry; Wspomagająco w niestrawnościach"
